SearchName,Number,Transcript,Speaker,Line,LineEnd,MatchId,URL,Before Match,Text,After Match,Target word,Target word start,Target word end,Target orthography,Match segment,Target segment,Target segment start,Target segment end,Variant,Foll_seg,Morpho status
_^(l)$,1,CB10interview2.eaf,CB10,18.418,22.534,g_13;em_12_3409;n_67826-n_67828;p_10;#=es_1_35626;prefix=01-;[0]=ew_0_28649,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28649,was,always,busy,always,21.677999999999997,21.888,always,$lw@z,l,21.708,21.738,Deleted,Cons,P
_^(l)$,2,CB10interview2.eaf,CB10,26.367,34.538,g_13;em_12_3412;n_67832-n_67834;p_10;#=es_1_35696;prefix=02-;[0]=ew_0_28670,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28670,from,Butler,to,Butler,28.017,28.417,butler,bVtl@,l,28.257,28.307,Deleted,NonC,nonpast
_^(l)$,3,CB10interview2.eaf,CB10,26.367,34.538,g_13;em_12_3412;n_67832-n_67834;p_10;#=es_1_35722;prefix=03-;[0]=ew_0_28678,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28678,it,always,being,always,30.107,30.587,always,$lwIz,l,30.217,30.437,Deleted,Cons,nonpast
_^(l)$,4,CB10interview2.eaf,CB10,26.367,34.538,g_13;em_12_3412;n_67832-n_67834;p_10;#=es_1_35749;prefix=04-;[0]=ew_0_28687,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28687,new,lot,a,lot,33.267,33.637,lot,lQt,l,33.267,33.317,Deleted,NonC,nonpast
_^(l)$,5,CB10interview2.eaf,CB10,26.367,34.538,g_13;em_12_3412;n_67832-n_67834;p_10;#=es_1_35753;prefix=05-;[0]=ew_0_28689,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28689,a,lot,of,lot,33.677,33.807,lot,lQt,l,33.677,33.707,Deleted,Cons,P
_^(l)$,6,CB10interview2.eaf,CB10,34.538,36.934,g_13;em_12_3413;n_67834-n_67836;p_10;#=es_1_35773;prefix=06-;[0]=ew_0_28694,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28694,on,Lindsay,most,Lindsay,35.467999999999996,35.738,lindsay,lInzi,l,35.467999999999996,35.498,Retained,Cons,nonpast
_^(l)$,7,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35799;prefix=07-;[0]=ew_0_28703,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28703,been,established,and,established,37.477,38.307,established,Est{blISt,l,37.967,38.027,Deleted,Cons,nonpast
_^(l)$,8,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35805;prefix=08-;[0]=ew_0_28706,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28706,a,lot,of,lot,38.697,38.827,lot,lQt,l,38.697,38.727,Deleted,Cons,nonpast
_^(l)$,9,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35815;prefix=09-;[0]=ew_0_28709,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28709,the,families,that,families,39.127,39.617,families,f{mlIz,l,39.407,39.457,Retained,Cons,P
_^(l)$,10,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35821;prefix=10-;[0]=ew_0_28711,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28711,that,live,there,live,40.157,40.367,live,lIv,l,40.157,40.197,Deleted,Cons,nonpast
_^(l)$,11,CB10interview2.eaf,CB10,37.347,42.716,g_13;em_12_3415;n_67838-n_67839;p_10;#=es_1_35828;prefix=11-;[0]=ew_0_28714,https://labb-cat.linguistics.pitt.edu/labbcat/transcript?ag_id=13#ew_0_28714,have,lived,there,lived,40.897,41.027,lived,lIvd,l,40.897,40.927,Retained,NonC,P
